"ntTitle","ntDec","result","tDec","tTitle"
"Sildenafil citrate for erectile dysfunction in men with diabetes and cardiovascular risk factors: a retrospective analysis of pooled data from placebo-controlled trials","Exclude","","Exclude","Sildenafil citrate for erectile dysfunction in men with diabetes and cardiovascular risk factors: a retrospective analysis of pooled data from placebo-controlled trials"
"Valsartan/hydrochlorothiazide: a review of its use in the management of hypertension","Exclude","","Exclude","Valsartan/hydrochlorothiazide: a review of its use in the management of hypertension"
"Improving macrovascular outcomes in type 2 diabetes: Outcome studies in cardiovascular risk and metabolic control","Exclude","",,
"Review of the molecular pharmacology of Losartan and its possible relevance to stroke prevention in patients with hypertension","Exclude","",,
"A review of isosorbide dinitrate and hydralazine in the management of heart failure in black patients, with a focus on a new fixed-dose combination","Exclude","",,
"Type 2 diabetes in children and adolescents--the next epidemic?","Exclude","",,
"Cerebral microbleeds on MRI: prevalence, associations, and potential clinical implications","Exclude","",,
"Angiotensin II antagonists--therapeutic benefits spanning the cardiovascular disease continuum from hypertension to heart failure and diabetic nephropathy","Exclude","",,
"Phosphodiesterase type 5 inhibitor therapy: identifying and exploring what attributes matter more to clinicians and patients in the management of erectile dysfunction","Exclude","",,
"Effects of renin-angiotensin system inhibition on end-organ protection: can we do better?","Exclude","",,
"Review article: thrombocytopenia in chronic liver disease","Exclude","",,
"Intrauterine growth restriction and risk for arterial hypertension: a causal relationship?","Exclude","","Exclude","Intrauterine growth restriction and risk for arterial hypertension: a causal relationship?"
"Candesartan cilexetil--a review of effects on cardiovascular complications in hypertension and chronic heart failure","Exclude","",,
"Modifying women's risk for cardiovascular disease","Exclude","",,
"Emerging treatments for pulmonary arterial hypertension","Exclude","",,
"Use of angiotensin-converting enzyme inhibitor/angiotensin receptor blocker therapy to reduce cardiovascular events in high-risk patients: part 2","Exclude","","Exclude","Use of angiotensin-converting enzyme inhibitor/angiotensin receptor blocker therapy to reduce cardiovascular events in high-risk patients: part 2"
"Angiotensin II receptor blockers in the treatment of the cardiovascular disease continuum","Exclude","",,
"Producing know-how and making recommendations for promoting high blood pressure management in Colombia , 1998-2005","Exclude","",,
"Proactive compared with passive adverse event recognition: calcium channel blocker-associated edema","Exclude","",,
"Direct renin inhibition: an evaluation of the safety and tolerability of aliskiren","Exclude","",,
"Prescribing patterns in hypertension: the emerging role of fixed-dose combinations for attaining BP goals in hypertensive patients","Exclude","",,
"Low birth weight and the developing vascular tree: a systematic review","Exclude","","Exclude","Low birth weight and the developing vascular tree: a systematic review"
"Approved and investigational uses of modafinil : an evidence-based review","Exclude","",,
"Efficacy and safety of darusentan: a novel endothelin receptor antagonist","Exclude","",,
"Ambrisentan for the management of pulmonary arterial hypertension","Exclude","",,
"Angiotensin receptor blockers: RAAS blockade and renoprotection","Exclude","",,
"Dietary Reference Intakes (DRIs) in Japan","Exclude","",,
"Upregulating substance P levels to treat obstructive sleep apnea","Exclude","",,
"Type 2 diabetes: where we are today: an overview of disease burden, current treatments, and treatment strategies","Exclude","",,
"Preventing dementia: role of vascular risk factors and cerebral emboli","Exclude","",,
"Potential concerns about generic substitution: bioequivalence versus therapeutic equivalence of different amlodipine salt forms","Exclude","",,
"Noninvasive positive pressure ventilation: effect on mortality in acute cardiogenic pulmonary edema: a pragmatic meta-analysis","Exclude","","Exclude","Noninvasive positive pressure ventilation: effect on mortality in acute cardiogenic pulmonary edema: a pragmatic meta-analysis"
"Clevidipine: an ultra short-acting calcium channel antagonist for acute hypertension","Exclude","",,
"Zen meditation: an integration of current evidence","Exclude","",,
"Nebivolol: a third-generation beta-blocker for hypertension","Exclude","",,
"Alpha2-adrenergic agonists and their role in the prevention of perioperative adverse cardiac events","Exclude","",,
"Bosentan in pediatric patients with pulmonary arterial hypertension","Exclude","",,
"Endothelin receptor antagonism in portal hypertension","Exclude","",,
"Erectile dysfunction and cardiovascular disease: efficacy and safety of phosphodiesterase type 5 inhibitors in men with both conditions","Exclude","",,
"Chronically increased activity of the sympathetic nervous system: our diet-related \"evolutionary\" inheritance","Exclude","",,
"End organ damage in hypertension","Exclude","","Exclude","End organ damage in hypertension"
"Short, medium and long-term follow-up of living donors","Exclude","",,
"Beta-blockers in hypertension","Exclude","","Exclude","Beta-blockers in hypertension"
"Reliability and validity of the Delphi method in guideline development for family physicians","Exclude","",,
"Current role of beta-blockers in the treatment of hypertension","Exclude","",,
"Brinzolamide 1%/timolol 0.5%: safety and efficacy of a new fixed-combination IOP-lowering product for glaucoma","Exclude","",,
"The role of Angiotensin receptor blocker and calcium channel blocker combination therapy in treating hypertension: focus on recent studies","Exclude","",,
"Hypertension may be the most important component of hyperdynamic therapy in cerebral vasospasm","Exclude","",,
"Epidemic of hypertension in Ghana: a systematic review","Exclude","",,
"A critique of the apneic oxygenation test for the diagnosis of \"brain death\",""Pediatric Critical Care Medicine","Exclude","",,
"Topical carbonic anhydrase inhibitors and visual function in glaucoma and ocular hypertension","Exclude","",,
"Neonatal pulmonary hypertension","Exclude","",,
"Management of acute esophageal variceal hemorrhage","Exclude","","Exclude","Management of acute esophageal variceal hemorrhage"
"Choosing among renin-angiotensin system blockers for the management of hypertension: from pharmacology to clinical efficacy","Exclude","",,
"Focus on phosphodiesterase inhibitors for the treatment of erectile dysfunction in older men","Exclude","",,
"Blood pressure goals on the test bench","Exclude","","Exclude","Blood pressure goals on the test bench"
"Endothelial nitric oxide synthase G894T gene polymorphism and essential hypertension in the Chinese population: a meta-analysis involving 11,248 subjects","Exclude","","Exclude","Endothelial nitric oxide synthase G894T gene polymorphism and essential hypertension in the Chinese population: a meta-analysis involving 11,248 subjects"
"The effect of oral care on intracranial pressure: a review of the literature","Exclude","",,
"Evidence based evaluation of immuno-coagulatory interventions in critical care","Exclude","",,
"Perimenopausal risk factors and future health","Exclude","",,
"Pulmonary hypertension in systemic sclerosis","Exclude","",,
"The importance of potassium in managing hypertension","Exclude","","Exclude","The importance of potassium in managing hypertension"
"The impact of Tai Chi exercise on coronary heart disease: a systematic review","Exclude","","Exclude","The impact of Tai Chi exercise on coronary heart disease: a systematic review"
"Cardiovascular implications of antihyperglycemic therapies for type 2 diabetes","Exclude","",,
"Transforming growth factor beta1 +869T/C gene polymorphism and essential hypertension: a meta-analysis involving 2708 participants in the Chinese population","Exclude","",,
"Erectile dysfunction, depression, and ischemic heart disease: does the existence of one component of this triad necessitate inquiring the other two?","Exclude","",,
"Linear IgA bullous dermatosis: a review","Exclude","",,
"Summary of the epidemiological evidence relating snus to health","Exclude","","Exclude","Summary of the epidemiological evidence relating snus to health"
"A review of published studies of patients' illness perceptions and medication adherence: lessons learned and future directions","Exclude","",,
"Ethnic differences in genetic predisposition to hypertension","Exclude","","Exclude","Ethnic differences in genetic predisposition to hypertension"
"Tumor necrosis factor-alpha g308alpha gene polymorphism and essential hypertension: a meta-analysis involving 2244 participants","Exclude","",,
"Factors associated with medication adherence in hypertensive blacks: a review of the literature","Exclude","",,
"alpha-Adducin Gly460Trp gene mutation and essential hypertension in a Chinese population: a meta-analysis including 10,960 subjects","Exclude","",,
"Focal venous hypertension as a pathophysiologic mechanism for tissue hypertrophy, port-wine stains, the Sturge-Weber syndrome, and related disorders: proof of concept with novel hypothesis for underlying etiological cause (an American Ophthalmological Society thesis)","Exclude","",,
"The A allele of the rs1990760 polymorphism in the IFIH1 gene is associated with protection for arterial hypertension in type 1 diabetic patients and with expression of this gene in human mononuclear cells","Exclude","","Exclude","The A allele of the rs1990760 polymorphism in the IFIH1 gene is associated with protection for arterial hypertension in type 1 diabetic patients and with expression of this gene in human mononuclear cells"
"Renal protection with calcium antagonists: the role of lercanidipine","Exclude","",,
"An outlook on vascular hydrogen sulphide effects, signalling, and therapeutic potential","Exclude","",,
"Levomilnacipran for major depressive disorder: a systematic review of the efficacy and safety profile for this newly approved antidepressant--what is the number needed to treat, number needed to harm and likelihood to be helped or harmed?","Exclude","",,
"A 91-year-old woman with difficult-to-control hypertension: a clinical review","Exclude","",,
"The current status of angioplasty of atherosclerotic renal artery stenosis for the treatment of hypertension","Exclude","",,
"Hypercortisolemia and glucocorticoid receptor-signaling insufficiency in Alzheimer's disease initiation and development","Exclude","","Exclude","Hypercortisolemia and glucocorticoid receptor-signaling insufficiency in Alzheimer's disease initiation and development"
"Hypertension and vascular dementia in the elderly: the potential role of anti-hypertensive agents","Exclude","",,
"Pulmonary hypertension in rheumatic diseases: epidemiology and pathogenesis","Exclude","",,
"Epidemiology of ischaemic heart disease in sub-Saharan Africa","Exclude","",,
"Clinical implications","Exclude","","Exclude","Clinical implications"
"J curve: when lowering blood pressure becomes a hazard?","Exclude","",,
"Selenium levels and hypertension: a systematic review of the literature","Exclude","","Exclude","Selenium levels and hypertension: a systematic review of the literature"
"Catheter-based renal sympathetic denervation is effective in reducing office and ambulatory blood pressure in patients with resistant hypertension","Exclude","","Exclude","Catheter-based renal sympathetic denervation is effective in reducing office and ambulatory blood pressure in patients with resistant hypertension"
"Potential therapeutic competition in community-living older adults in the U.S.: use of medications that may adversely affect a coexisting condition","Exclude","",,
"Association between alcohol consumption and risk of cardiovascular disease and all-cause mortality in patients with hypertension: a meta-analysis of prospective cohort studies","Exclude","","Exclude","Association between alcohol consumption and risk of cardiovascular disease and all-cause mortality in patients with hypertension: a meta-analysis of prospective cohort studies"
"Hepatotoxicity in patients treated with endothelin receptor antagonists: systematic review and meta-analysis of randomized clinical trials","Exclude","",,
"Management of sickle cell disease: summary of the 2014 evidence-based report by expert panel members","Exclude","",,
"Associations of the Baltic Sea diet with cardiometabolic risk factors--a meta-analysis of three Finnish studies","Exclude","","Exclude","Associations of the Baltic Sea diet with cardiometabolic risk factors--a meta-analysis of three Finnish studies"
"Potential for primary prevention of Alzheimer's disease: an analysis of population-based data","Exclude","","Exclude","Potential for primary prevention of Alzheimer's disease: an analysis of population-based data"
"Treating blood pressure between 140/90 and 160/95 mmHg: no proven benefit","Exclude","",,
"Dietary interventions and blood pressure in Latin America - systematic review and meta-analysis","Exclude","",,
"Atenolol vs nonatenolol beta-blockers for the treatment of hypertension: a meta-analysis","Exclude","",,
"beta-Blockers in hypertension: studies and meta-analyses over the years","Exclude","",,
"Acute kidney injury after transcatheter aortic valve implantation: incidence, predictors and impact on mortality","Exclude","",,
"Angiotensin-converting enzyme insertion/deletion polymorphism contributes high risk for chronic kidney disease in Asian male with hypertension--a meta-regression analysis of 98 observational studies","Exclude","","Exclude","Angiotensin-converting enzyme insertion/deletion polymorphism contributes high risk for chronic kidney disease in Asian male with hypertension--a meta-regression analysis of 98 observational studies"
"Prevalence of hypertension in rural populations from Ibero-America and the Caribbean","Exclude","",,
"A systematic review of air pollution as a risk factor for cardiovascular disease in South Asia: limited evidence from India and Pakistan","Exclude","","Exclude","A systematic review of air pollution as a risk factor for cardiovascular disease in South Asia: limited evidence from India and Pakistan"
"Prevalence of cardiovascular risk factors among racial and ethnic minorities with schizophrenia spectrum and bipolar disorders: a critical literature review","Exclude","",,
"Meta-analysis comparing carvedilol versus metoprolol for the prevention of postoperative atrial fibrillation following coronary artery bypass grafting","Exclude","",,
"Antihypertensive activity of angiotensin II AT1 receptor antagonists: a systematic review of studies with 24 h ambulatory blood pressure monitoring","Exclude","","Exclude","Antihypertensive activity of angiotensin II AT1 receptor antagonists: a systematic review of studies with 24 h ambulatory blood pressure monitoring"
"Publication of recruitment methods in focus group research of minority populations with chronic disease: a systematic review","Exclude","","Exclude","Publication of recruitment methods in focus group research of minority populations with chronic disease: a systematic review"
"Cardiovascular risk factors in hypopituitary GH-deficient adults","Exclude","","Exclude","Cardiovascular risk factors in hypopituitary GH-deficient adults"
"Masked hypertension and white-coat hypertension in chronic kidney disease: a meta-analysis","Exclude","","Exclude","Masked hypertension and white-coat hypertension in chronic kidney disease: a meta-analysis"
"Prevalence and prevention of venous thromboembolism in patients with acute exacerbations of COPD","Exclude","",,
"Scleroderma renal crisis: poor outcome despite aggressive antihypertensive treatment","Exclude","",,
"Effect of terazosin on clinical benign prostatic hyperplasia in older adults","Exclude","",,
"Branch retinal vein occlusion: epidemiology, pathogenesis, risk factors, clinical features, diagnosis, and complications. An update of the literature","Exclude","",,
"Blood pressure improvement with continuous positive airway pressure is independent of obstructive sleep apnea severity.[Erratum appears in J Clin Sleep Med. 2014;10(6):711 Note: Barandiaran, Felipe Aizpuru [corrected to Aizpuru, Felipe]]","Exclude","",,
"Obstructive sleep apnea/hypopnea and systemic hypertension","Exclude","",,
"Thyroid dysfunction and pulmonary hypertension","Exclude","",,
"Kidney diseases in Africa: aetiological considerations, peculiarities and burden","Exclude","",,
"Today's and yesterday's of pathophysiology: biochemistry of metabolic syndrome and animal models","Exclude","",,
"Gender differences in dementia risk factors","Exclude","",,
"Incidence, predictors, and outcomes of high-degree atrioventricular block complicating acute myocardial infarction treated with thrombolytic therapy","Exclude","","Exclude","Incidence, predictors, and outcomes of high-degree atrioventricular block complicating acute myocardial infarction treated with thrombolytic therapy"
"NIH consensus development conference: Inhaled nitric oxide therapy for premature infants","Exclude","",,
"Pediatric extracorporeal life support in specialized situations","Exclude","",,
"Neurosarcoidosis-related intracranial haemorrhage: three new cases and a systematic review of the literature","Exclude","","Exclude","Neurosarcoidosis-related intracranial haemorrhage: three new cases and a systematic review of the literature"
"Spontaneous brain microbleeds: systematic review, subgroup analyses and standards for study design and reporting","Exclude","","Exclude","Spontaneous brain microbleeds: systematic review, subgroup analyses and standards for study design and reporting"
"The role of renin blockers in the prevention of diabetes.[Erratum appears in Saudi Med J. 2007 Apr;28(4):659]","Exclude","",,
"Recommendations for long-term home oxygen therapy in children and adolescents","Exclude","",,
"Renal morphophysiological changes in Wistar rats with malnutrition intra uterine","Exclude","",,
"Thyroid diseases, dyslipidemia and cardiovascular pathology","Exclude","",,
"Detoxification treatments for opiate dependent adolescents","Exclude","",,
"Pulmonary arterial hypertension--contemporary management strategy","Exclude","",,
"Lung transplantation in patients with scleroderma: case series, review of the literature, and criteria for transplantation","Exclude","",,
"Aspirin for primary prevention of myocardial infarction: what is the evidence?","Exclude","","Exclude","Aspirin for primary prevention of myocardial infarction: what is the evidence?"
"Prehypertension: a literature-documented public health concern","Exclude","",,
"Comparison between angiotensin-converting enzyme inhibitors and angiotensin receptor blockers on the risk of myocardial infarction, stroke and death: a meta-analysis","Exclude","","Exclude","Comparison between angiotensin-converting enzyme inhibitors and angiotensin receptor blockers on the risk of myocardial infarction, stroke and death: a meta-analysis"
"Do angiotensin II receptor blockers increase the risk of myocardial infarction?","Exclude","","Exclude","Do angiotensin II receptor blockers increase the risk of myocardial infarction?"
"The clinical effectiveness and cost-effectiveness of exercise referral schemes: a systematic review and economic evaluation","Exclude","","Exclude","The clinical effectiveness and cost-effectiveness of exercise referral schemes: a systematic review and economic evaluation"
"Role of inhaled nitric oxide in adult heart or lung transplant recipients","Exclude","",,
"Role of vitamin D in blood pressure homeostasis","Exclude","",,
"NOD2-associated pediatric granulomatous arthritis, an expanding phenotype: study of an international registry and a national cohort in Spain","Exclude","",,
"Epidemiological study and participant-level meta-analysis on ambulatory monitoring and self-measured home blood pressure","Exclude","",,
"Atmospheric pressure and infra-renal abdominal aortic aneurysm rupture: a single observational study and a comprehensive review of literature","Exclude","",,
"Herbal products that may contribute to hypertension","Exclude","",,
"Definitions of metabolic syndrome: Where are we now?","Exclude","",,
"Comparison of cardiovascular risk profiles among ethnic groups using population health surveys between 1996 and 2007","Exclude","","Exclude","Comparison of cardiovascular risk profiles among ethnic groups using population health surveys between 1996 and 2007"
"The global burden of chronic kidney disease and the way forward","Exclude","",,
"Clinical value of blood pressure measurement in the community pharmacy","Exclude","",,
"A meta-analysis of alcohol consumption and the risk of 15 diseases","Exclude","","Exclude","A meta-analysis of alcohol consumption and the risk of 15 diseases"
"Racial differences in blood pressure response to angiotensin-converting enzyme inhibitors in children: a meta-analysis","Exclude","","Exclude","Racial differences in blood pressure response to angiotensin-converting enzyme inhibitors in children: a meta-analysis"
"Review: Insulin and endothelin: an interplay contributing to hypertension development?","Exclude","",,
"[Phosphodiesterase inhibitors in clinical practice. The present and the future. Part I]","Exclude","",,
"Role and significance of statins in the treatment of hypertensive patients","Exclude","",,
"Coronary artery disease in the developing world","Exclude","",,
"Risk/benefit assessment of beta-blockers and diuretics precludes their use for first-line therapy in hypertension","Exclude","","Exclude","Risk/benefit assessment of beta-blockers and diuretics precludes their use for first-line therapy in hypertension"
"A practical \"ABCDE\" approach to the metabolic syndrome","Exclude","",,
"A comprehensive review of the loop diuretics: should furosemide be first line?","Exclude","",,
"Quality of life after hemicraniectomy for traumatic brain injury in adults. A review of the literature","Exclude","",,
"Genome-wide meta-analysis of systolic blood pressure in children with sickle cell disease","Exclude","","Exclude","Genome-wide meta-analysis of systolic blood pressure in children with sickle cell disease"
"Endoscopic management of intracerebral hemorrhage","Exclude","",,
"Attainment of normal lipid levels among high cardiovascular risk patients: pooled analysis of observational studies from the United Kingdom, Sweden, Spain and Canada","Exclude","","Exclude","Attainment of normal lipid levels among high cardiovascular risk patients: pooled analysis of observational studies from the United Kingdom, Sweden, Spain and Canada"
"Largest meta-analysis to date suggests that patients at risk for cardiovascular disease events derive benefit from antihypertensive therapy regardless of baseline blood pressure and to reduce vascular events, lowering blood pressure is more important than choice of antihypertensive drug class","Exclude","",,
"Transcatheter therapy for the treatment of atherosclerotic renal artery stenosis","Exclude","",,
"Inhalation induction","Exclude","",,
"Strategies to prevent type 2 diabetes","Exclude","","Exclude","Strategies to prevent type 2 diabetes"
"NIH state-of-the-science conference statement: Preventing Alzheimer's disease and cognitive decline","Exclude","",,
"The significance of compliance and persistence in the treatment of diabetes, hypertension and dyslipidaemia: a review","Exclude","",,
"Evidence-based interventions to improve patient compliance with antihypertensive and lipid-lowering medications","Exclude","",,
"Blood pressure and stroke: an overview of published reviews","Exclude","","Exclude","Blood pressure and stroke: an overview of published reviews"
"The measurement of multiple chronic diseases--a systematic review on existing multimorbidity indices","Exclude","","Exclude","The measurement of multiple chronic diseases--a systematic review on existing multimorbidity indices"
"Primer on medical management of severe brain injury","Exclude","",,
"Clinical review: Outcome of bilateral adrenalectomy in Cushing's syndrome: a systematic review","Exclude","","Exclude","Clinical review: Outcome of bilateral adrenalectomy in Cushing's syndrome: a systematic review"
"The prevalence of atherosclerotic renal artery stenosis in risk groups: a systematic literature review","Exclude","",,
"Polymorphisms in genes of the renin-angiotensin system and cerebral small vessel disease","Exclude","","Exclude","Polymorphisms in genes of the renin-angiotensin system and cerebral small vessel disease"
"Is the blood pressure of people from African origin adults in the UK higher or lower than that in European origin white people? A review of cross-sectional data","Exclude","",,
"Does the white-coat effect in people of African and South Asian descent differ from that in White people of European origin? A systematic review and meta-analysis","Exclude","","Exclude","Does the white-coat effect in people of African and South Asian descent differ from that in White people of European origin? A systematic review and meta-analysis"
"Does the pulse pressure in people of European, African and South Asian descent differ? A systematic review and meta-analysis of UK data","Exclude","","Exclude","Does the pulse pressure in people of European, African and South Asian descent differ? A systematic review and meta-analysis of UK data"
"Management of the clinically inapparent adrenal mass (\"incidentaloma\")","Exclude","",,
"Review and meta-analysis of incidence and clinical predictors of anthracycline cardiotoxicity","Exclude","","Exclude","Review and meta-analysis of incidence and clinical predictors of anthracycline cardiotoxicity"
"Fenoldopam and acute renal failure in cardiac surgery: a meta-analysis of randomized placebo-controlled trials","Exclude","",,
"Fenoldopam reduces the need for renal replacement therapy and in-hospital death in cardiovascular surgery: a meta-analysis","Exclude","",,
"Beneficial impact of fenoldopam in critically ill patients with or at risk for acute renal failure: a meta-analysis of randomized clinical trials","Exclude","",,
"The diagnosis and treatment of giant cell arteritis","Exclude","","Exclude","The diagnosis and treatment of giant cell arteritis"
"Awareness during anesthesia: risk factors, causes and sequelae: a review of reported cases in the literature","Exclude","","Exclude","Awareness during anesthesia: risk factors, causes and sequelae: a review of reported cases in the literature"
"Association between habitual sleep duration and blood pressure and clinical implications: a systematic review","Exclude","","Exclude","Association between habitual sleep duration and blood pressure and clinical implications: a systematic review"
"The epithelial sodium channel -subunit gene and blood pressure: family based association, renal gene expression, and physiological analyses","Exclude","",,
"Adolescent mental and physical health in the English-speaking Caribbean","Exclude","",,
"Cardiovascular risk profile of patients included in stent trials; a pooled analysis of individual patient data from randomised clinical trials: insights from 33 prospective stent trials in Europe","Exclude","","Exclude","Cardiovascular risk profile of patients included in stent trials; a pooled analysis of individual patient data from randomised clinical trials: insights from 33 prospective stent trials in Europe"
"Bisoprolol and fluvastatin for the reduction of perioperative cardiac mortality and myocardial infarction in intermediate-risk patients undergoing noncardiovascular surgery: a randomized controlled trial (DECREASE-IV)","Exclude","",,
"Antiphospholipid syndrome presenting as unilateral renal artery occlusion: case report and literature review","Exclude","",,
"The pharmaco-epidemiology to evaluate clinical practices and their impact on health, regarding an example in nephrology: the AVENIR study","Exclude","",,
"Adverse effects of ACE inhibitors in patients with chronic heart failure and/or ventricular dysfunction : meta-analysis of randomised clinical trials","Exclude","","Exclude","Adverse effects of ACE inhibitors in patients with chronic heart failure and/or ventricular dysfunction : meta-analysis of randomised clinical trials"
"Incidence and prevalence of hypercholesterolemia in Portugal: a systematic review. Part III","Exclude","","Exclude","Incidence and prevalence of hypercholesterolemia in Portugal: a systematic review. Part III"
"Incidence and prevalence of hypercholesterolemia in Portugal: a systemic review. Part II","Exclude","",,
"Incidence and prevalence of hypercholesterolemia in Portugal: a systematic review. Part I","Exclude","","Exclude","Incidence and prevalence of hypercholesterolemia in Portugal: a systematic review. Part I"
"Options to restrict hematoma expansion after spontaneous intracerebral hemorrhage","Exclude","",,
"Intravenous to oral conversion of antihypertensives: a toolkit for guideline development","Exclude","",,
"Multi-morbidity of non communicable diseases and equity in WHO Eastern Mediterranean countries","Exclude","",,
"Noncardiac vascular toxicities of vascular endothelial growth factor inhibitors in advanced cancer: a review","Exclude","",,
"Renal sympathetic denervation for resistant hypertension treatment : current perspectives","Exclude","",,
"Premedication with clonidine is superior to benzodiazepines. A meta analysis of published studies","Exclude","",,
"The prevalence of disease clusters in older adults with multiple chronic diseases--a systematic literature review","Exclude","","Exclude","The prevalence of disease clusters in older adults with multiple chronic diseases--a systematic literature review"
"Culturally tailored interventions of chronic disease targeting Korean Americans: a systematic review","Exclude","","Exclude","Culturally tailored interventions of chronic disease targeting Korean Americans: a systematic review"
"Silodosin for benign prostatic hyperplasia","Exclude","",,
"Clinical practice parameters for hemodynamic support of pediatric and neonatal septic shock: 2007 update from the American College of Critical Care Medicine.[Erratum appears in Crit Care Med. 2009 Apr;37(4):1536 Note: Skache, Sara [corrected to Kache, Saraswati]; Irazusta, Jose [corrected to Irazuzta, Jose]]","Exclude","",,
"Anal ulceration associated with Nicorandil: case series and review of the literature","Exclude","",,
"Guidelines for the management of spontaneous intracerebral hemorrhage in adults: 2007 update: a guideline from the American Heart Association/American Stroke Association Stroke Council, High Blood Pressure Research Council, and the Quality of Care and Outcomes in Research Interdisciplinary Working Group","Exclude","",,
"The effectiveness of carvedilol in heart failure","Exclude","",,
"Aerosolized prostacyclin for acute lung injury (ALI) and acute respiratory distress syndrome (ARDS)","Exclude","",,
"The evidence for medicine versus surgery for carotid stenosis","Exclude","",,
"Weight control and the management of obesity after menopause: the role of physical activity","Exclude","",,
"Is chlorthalidone better than hydrochlorothiazide in reducing cardiovascular events in hypertensives?","Exclude","","Exclude","Is chlorthalidone better than hydrochlorothiazide in reducing cardiovascular events in hypertensives?"
"Reversible posterior leukoencephalopathy in patients with systemic lupus erythematosus","Exclude","",,
"Adrenergic alpha-blockers: an infrequent and overlooked cause of priapism","Exclude","",,
"New therapies for intracranial hypertension","Exclude","",,
"Meta-analysis: cardiovascular effects in workers occupationally exposed to urban pollution","Exclude","",,
"Effectiveness of pindolol plus serotonin uptake inhibitors in depression: a meta-analysis of early and late outcomes from randomised controlled trials","Exclude","",,
"Recommendations and treatment strategies for the management of acute ischemic stroke","Exclude","",,
"Meta-analysis of genome-wide gene expression differences in onset and maintenance phases of genetic hypertension.[Erratum appears in Hypertension. 2011 Apr;57(4):e15]","Exclude","",,
"The 2004 Canadian recommendations for the management of hypertension: Part III--Lifestyle modifications to prevent and control hypertension","Exclude","",,
"The epidemiology of renal cell carcinoma","Exclude","",,
"The first Mexican consensus of endometrial cancer. Grupo de Investigacion en Cancer de Ovario y Tumores Ginecologicos de Mexico","Exclude","",,
"Racial and ethnic differences in cardiovascular disease risk factors: a systematic review","Exclude","","Exclude","Racial and ethnic differences in cardiovascular disease risk factors: a systematic review"
"Clark et al. Nurse-led interventions used to improve control of high blood pressure in people with diabetes: a systematic review and meta analysis","Exclude","",,
"Human responses to pulmonary arterial hypertension: review of the literature","Exclude","",,
"[Arterial hypertension in childhood]","Exclude","",,
"Pre-eclampsia and risk of cardiovascular disease and cancer in later life: systematic review and meta-analysis","Exclude","",,
"[Integrated approach to comorbidity in patients with psoriasis.Working Group on Psoriasis-associated Comorbidities]","Exclude","",,
"Role of psoriasis as independent predictor of cardiovascular disease: a meta-regression analysis","Exclude","","Exclude","Role of psoriasis as independent predictor of cardiovascular disease: a meta-regression analysis"
"[Nutritional therapy in metabolic changes in individuals with HIV/AIDS]","Exclude","",,
"Daytime and nighttime blood pressure as predictors of death and cause-specific cardiovascular events in hypertension","Exclude","","Exclude","Daytime and nighttime blood pressure as predictors of death and cause-specific cardiovascular events in hypertension"
"Is rosmarinic acid underestimated as an experimental cardiovascular drug?","Exclude","",,
"[Cardiovascular risk factors in Spanish population: metaanalysis of cross-sectional studies]","Exclude","",,
"Hydrochlorothiazide-associated noncardiogenic pulmonary oedema and shock: a case report and review of the literature","Exclude","",,
"Berberine: a potential phytochemical with multispectrum therapeutic activities","Exclude","",,
"Replication and meta-analysis of the gene-environment interaction between body mass index and the interleukin-6 promoter polymorphism with higher insulin resistance","Exclude","","Exclude","Replication and meta-analysis of the gene-environment interaction between body mass index and the interleukin-6 promoter polymorphism with higher insulin resistance"
"Cerebellar haemorrhage following supratentorial craniotomy","Exclude","",,
"Clinical practice guidelines in severe traumatic brain injury in Taiwan","Exclude","",,
"Emerging non-communicable disease epidemic in Africa: preventive measures from the WHO Regional Office for Africa","Exclude","",,
"The cost and impact of health conditions on presenteeism to employers: a review of the literature","Exclude","",,
"An evidence-based manual for abdominal paracentesis","Exclude","",,
"Pharmacologic management of heart failure with preserved ejection fraction","Exclude","",,
"A meta-analysis of candidate gene polymorphisms and ischemic stroke in 6 study populations: association of lymphotoxin-alpha in nonhypertensive patients","Exclude","","Exclude","A meta-analysis of candidate gene polymorphisms and ischemic stroke in 6 study populations: association of lymphotoxin-alpha in nonhypertensive patients"
"What is the direct cost of treatment of acute primary angle closure glaucoma? The Singapore model","Exclude","",,
"Type 2 diabetes, cardiovascular risk, and the link to insulin resistance","Exclude","",,
"Annual progression of coronary calcification in trials of preventive therapies: a systematic review","Exclude","","Exclude","Annual progression of coronary calcification in trials of preventive therapies: a systematic review"
"Effect of metabolic syndrome and its components on prostate cancer risk: meta-analysis","Exclude","","Exclude","Effect of metabolic syndrome and its components on prostate cancer risk: meta-analysis"
"Atherothrombotic disease and the role of antiplatelet therapy in women","Exclude","",,
"Effectiveness of lowering blood pressure to prevent stroke versus to prevent coronary events","Exclude","",,
"Current status of aggressive blood glucose and blood pressure control in diabetic hypertensive subjects","Exclude","",,
"An update on the cardiovascular pleiotropic effects of milk and milk products","Exclude","",,
"The treatment of cardiovascular disease continuum: focus on prevention and RAS blockade","Exclude","",,
"Current and future status of beta-blockers in the treatment of hypertension","Exclude","",,
"The influence of intraabdominal hypertension on the central nervous system: current insights and clinical recommendations, is it all in the head?","Exclude","",,
"Catecholamine-induced cardiomyopathy","Exclude","",,
"Risk factors for intracerebral hemorrhage in the general population: a systematic review","Exclude","","Exclude","Risk factors for intracerebral hemorrhage in the general population: a systematic review"
